  Number  Name                   Base kV    Type    Load MW    Load Mvar     Gen. MW    Set. kV    Mvar fixed    Mvar var.
    1322  ZUN-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1324  TEJ-69                 69.0000       1    17.3030       0.0000      0.0000   nan             0.0000       5.4000
    1329  XEL-69D                69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1331  SJG-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1336  LCR-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1337  TUL-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1338  EPI-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1339  CAN-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1372  SMR-69                 69.0000       1    19.8080       0.0000      0.0000   nan             0.0000       0.0000
    1374  SFE-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1375  POR-13                 13.8000       1     1.8230       0.0920      0.0000   nan             0.0000       0.0000
    1398  REC-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1399  MTO-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1403  COB-69                 69.0000       1    21.9640       3.6380      0.0000   nan             0.0000       0.0000
    1406  LES-69                 69.0000       1    17.6470       3.4310      0.0000   nan             0.0000       0.0000
    1407  LRU-69                 69.0000       1    13.6460       0.0000      0.0000   nan             0.0000       0.0000
    1408  1969-11-01_00:00:00    69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1409  PAN-69                 69.0000       1    19.9020       0.0000      0.0000   nan             0.0000      10.8000
    1411  PRO-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1413  RBO-69                 69.0000       1     0.4500       0.0000      0.0000   nan             0.0000       0.0000
    1414  SAN-69                 69.0000       1    35.9350       0.0000      0.0000   nan             0.0000       5.4000
