  From number    To number  From name         To name              Last bus number  Last bus name       ID    Service                 R (pu)    X (pu)    Tap ratio (pu)
         6001         6002  PAN230_230.00     PAN115_115.00                   6084  PAN13T3_13.800      T3    All in-service          0.0000    0.0260                 1
         6001         6002  PAN230_230.00     PAN115_115.00                   6084  PAN13T3_13.800      T5    Wnd 3 out-of-service    0.0000    0.0257                 1
         6003         6004  PANII230_230.00   PANII115_115.00                 6085  PANIIT1_13.800      T1    All in-service          0.0000    0.0531                 1
         6003         6004  PANII230_230.00   PANII115_115.00                 6086  PANIIT2_13.800      T2    All in-service          0.0000    0.0536                 1
         6003         6004  PANII230_230.00   PANII115_115.00                 6109  PANIIT3_13.800      T3    Wnd 3 out-of-service    0.0000    0.0520                 1
         6005         6006  CHO230_230.00     CHO115_115.00                   6007  CHO34_34.500        T1    All in-service          0.0000    0.0585                 1
         6005         6006  CHO230_230.00     CHO115_115.00                   6007  CHO34_34.500        T2    All in-service          0.0000    0.0563                 1
         6005         6006  CHO230_230.00     CHO115_115.00                   6007  CHO34_34.500        T3    All in-service          0.0000    0.0585                 1
         6008         6009  LSA230_230.00     LSA115_115.00                   6010  LSA34_34.500        T1    All in-service          0.0000    0.0522                 1
         6008         6009  LSA230_230.00     LSA115_115.00                   6010  LSA34_34.500        T2    All in-service          0.0000    0.0530                 1
         6008         6009  LSA230_230.00     LSA115_115.00                   6010  LSA34_34.500        T3    Wnd 3 out-of-service    0.0000    0.0914                 1
         6011         6012  MDN230_230.00     MDN115_115.00                   6013  MDN34_34.500        T1    All in-service          0.0000    0.0762                 1
         6011         6012  MDN230_230.00     MDN115_115.00                   6013  MDN34_34.500        T2    All in-service          0.0000    0.1314                 1
         6011         6012  MDN230_230.00     MDN115_115.00                   6013  MDN34_34.500        T3    All in-service          0.0000    0.1342                 1
         6014         6015  PRO230_230.00     PRO115_115.00                   6016  PRO34_34.500        T1    All in-service          0.0000    0.0503                 1
         6014         6015  PRO230_230.00     PRO115_115.00                   6016  PRO34_34.500        T2    All in-service          0.0000    0.1227                 1
         6020         6019  CVI_T1A_13.800    CVI115A_115.00                  6021  CVI_T1B_34.500      T1    All in-service          0.0000    0.3600                 1
         6059         6077  LM1115_115.00     BLMG8_13.800                    6078  BLMG9_13.800        T1    All in-service          0.0000    0.1465                 1
         6061         6074  L.M.44_43.800     LMDIST_115.00                   6062  L.M.13B_13.800      T8    All in-service          0.0000    0.2536                 1
         6088         6090  LES115_115.00     LESG1_13.800                    6091  LESG2_13.800        T1    All in-service          0.0000    0.3100                 1
         6092         6094  LVA115_115.00     LVAG1_13.800                    6095  LVAG2_13.800        T1    All in-service          0.0000    0.3100                 1
         6173         6957  STR115_115.00     STR34_34.500                    6958  STR13_13.800        1     All in-service          0.0000    0.3584                 1
         6183         6019  CVI_T3A_13.800    CVI115A_115.00                  6184  CVI_T3B_34.500      T3    All in-service          0.0000    0.3600                 1
         6222         6057  TOC_T3A_13.800    TOC115_115.00                   6223  TOC_T3B_13.800      T3    All in-service          0.0000    0.2987                 1
         6260         6261  CHA230_230.00     CHA115_115.00                   6262  CHA34_34.500        T1    All in-service          0.0000    0.1250                 1
         6260         6261  CHA230_230.00     CHA115_115.00                   6262  CHA34_34.500        T2    All in-service          0.0000    0.1250                 1
         6360         6361  GLA230_230.00     GLAG1_13.800                    6362  GLAG2_13.800        T1    All in-service          0.0000    0.1200                 1
         6363         6364  ZAM230_230.00     LORG1_13.800                    6365  LORG2_13.800        T1    All in-service          0.0000    0.1200                 1
         6366         6367  EVA230_230.00     PRUG1_13.800                    6368  PRUG2_13.800        T1    All in-service          0.0000    0.1200                 1
         6520         6521  SBA230_230.00     SBA115_115.00                   6522  SBA34_34.500        T1    All in-service          0.0000    0.1158                 1
         6713         6714  BUR230_230.00     BUR115_115.00                   6715  BUR34_34.500        T1    All in-service          0.0000    0.1250                 1
         6713         6714  BUR230_230.00     BUR115_115.00                   6715  BUR34_34.500        T2    All in-service          0.0000    0.1250                 1
         6729         6730  CDE115_115.00     CDE13A_13.800                   6733  CDE_T1B_6.6000      T1    Wnd 3 out-of-service    0.0000    0.3017                 1
         6729         6731  CDE115_115.00     CDE13B_13.800                   6737  CDE_T2B_6.6000      T2    Wnd 3 out-of-service    0.0000    0.3017                 1
         6840         6841  PAN3_230_230.00   PAN3_115_115.00                 6842  PAN3_13A_13.800     T1    Wnd 3 out-of-service    0.0000    0.0514                 1
         6840         6841  PAN3_230_230.00   PAN3_115_115.00                 6843  PAN3_13B_13.800     T2    Wnd 3 out-of-service    0.0000    0.0514                 1
        28132        27132  EDP-230_230.00    ACAJ2-115_115.00               24133  ACAJ-EDP-46_46.000  1     All in-service          0.0009    0.0306                 1
        28132        27132  EDP-230_230.00    ACAJ2-115_115.00               24133  ACAJ-EDP-46_46.000  2     All in-service          0.0009    0.0306                 1
        28161        27161  AHUA-230_230.00   AHUA-115_115.00                24161  AHUA-46_46.000      1     All in-service          0.0014    0.0474                 1
        28161        27161  AHUA-230_230.00   AHUA-115_115.00                24161  AHUA-46_46.000      2     All in-service          0.0014    0.0474                 1
