  From number    To number  From name           To name             ID      In service    R (pu)    X (pu)    Tap ratio (pu)    Capacity (MVA)
         1375         1616  POR-13_13.800       POR-H_2.3000        1                1    0.0000    1.3520            1.0000            7.0000
         1398         1674  REC-69_69.000       REC-H_13.800        1                1    0.0000    0.4600            1.0000           42.0000
         1399         1676  MTO-69_69.000       MTO-H_13.800        1                1    0.0000    0.1573            1.0250           15.0000
         1406         1612  LES-69_69.000       LES-H_6.9000        1                1    0.0000    0.6533            1.0000           15.0000
         1411         1422  PRO-69_69.000       PRO-138_138.00      1                1    0.0000    0.1267            0.9700           60.0000
         1413         1613  RBO-69_69.000       RBO-H_4.1600        1                1    0.0000    0.7656            0.9953           12.5000
         1416         1952  SJU-69_69.000       SCI-13_13.800       1                1    0.0000    0.1200            1.0000           10.0000
         1417         1645  SEC-69_69.000       SEC-H_6.6000        1                1    0.0000    0.4598            1.0011           20.0000
         1424         1642  GEN-69_69.000       GEN-B1_13.800       1                1    0.0000    0.3457            1.0000           37.5000
         1424         1643  GEN-69_69.000       GEN-B2_13.800       1                1    0.0000    0.3571            1.0000           37.5000
         1425         1770  LVG-69_69.000       LVG-132_13.800      1                1    0.0000    0.8280            1.0000           10.0000
         1426         1656  REN-69_69.000       REN-H1_6.9000       1                1    0.0000    1.0750            1.0000           24.7000
         1426         1657  REN-69_69.000       REN-H2_6.9000       1                1    0.0000    1.0750            1.0000           24.7000
         1426         1658  REN-69_69.000       REN-H3_6.9000       3                1    0.0000    1.0750            1.0000           24.7000
         1436         1646  PAS-69_69.000       PAS-H1_4.1600       1                1    0.0000    1.0670            1.0000            7.5000
         1436         1647  PAS-69_69.000       PAS-H2_4.1600       1                1    0.0000    1.0670            1.0000            7.5000
         1437         1687  PVE-69_69.000       PVE-13_13.800       1                1    0.0000    0.8258            1.0000           17.9000
         1444         1447  TIC-231_230.00      TIC-69_69.000       1                1    0.0000    0.0833            1.0000          180.0000
         1449         1664  MTZ-69_69.000       MTZ-H_4.1600        1                1    0.0000    0.0780            1.0000           18.3000
         1483         1664  MTZ-13_13.800       MTZ-H_4.1600        1                1    0.0000    0.0575            1.0000            5.0000
         1484         1665  SIS-13_13.800       SIS-H_4.1600        1                1    0.0000    0.0394            1.0000            5.0000
         1652         1687  PVE-H1_4.1600       PVE-13_13.800       1                1    0.0000    1.1760            1.0000            5.0000
         1653         1687  PVE-H2_4.1600       PVE-13_13.800       1                1    0.0000    1.1760            1.0000            5.0000
         1654         1655  TUL-B12_12.000      TUL-B3_0.4800       1                1    0.0000    0.0021            1.0000            3.0000
