  From Number    To Number  From Name         To Name             ID      Resistance_ohm    Reactance_ohm    Susceptance_uS    Base kV
         1151         1240  ESC-691_69.000    EJO-69_69.000       2               0.8189           5.9132           52.5100    69.0000
         1151        12177  ESC-691_69.000    LLR-69_69.000       1               0.8422           3.4727           32.3461    69.0000
         1151        12204  ESC-691_69.000    GAC-691_69.000      1               0.2100           0.8289            8.1916    69.0000
         1151        12205  ESC-691_69.000    GAC-692_69.000      1               0.1985           0.7822            7.7715    69.0000
         1151        12241  ESC-691_69.000    TND-69_69.000       1               2.0458           7.0910           52.2999    69.0000
         1152         1153  GNO-691_69.000    GNO-692_69.000      1               0.0000           0.0048            0.0000    69.0000
         1153         1408  GNO-692_69.000    NOV-69_69.000       1               3.8588          13.3760           98.7188    69.0000
         1154         1156  GSU-691_69.000    GSU-692_69.000      1               0.0000           0.0048            0.0000    69.0000
         1154         1204  GSU-691_69.000    CEN-69_69.000       1               1.4078           3.2818           26.6751    69.0000
         1154         1204  GSU-691_69.000    CEN-69_69.000       2               0.9946           3.1865           27.5152    69.0000
         1154         1204  GSU-691_69.000    CEN-69_69.000       3               0.9946           3.1865           27.5152    69.0000
         1154        12080  GSU-691_69.000    GLT-69_69.000       1               0.2452           0.7856            6.7213    69.0000
         1156         1159  GSU-692_69.000    GST-69_69.000       1               0.2436           0.7804            6.7213    69.0000
         1156         1163  GSU-692_69.000    GIS-69D_69.000      1               0.0733           0.3014           27.7253    69.0000
         1156         1301  GSU-692_69.000    CHM-69_69.000       1               3.1518          12.9928          119.7227    69.0000
         1156         1425  GSU-692_69.000    LVG-69_69.000       1               5.3452          13.4555           93.6778    69.0000
         1159         1331  GST-69_69.000     SJG-69_69.000       1               1.7865           5.7231           49.5694    69.0000
         1159         1331  GST-69_69.000     SJG-69_69.000       2               1.7863           5.7232           49.5694    69.0000
         1163        12243  GIS-69D_69.000    SAM-69D_69.000      1               0.4999           1.5302           10.0819    69.0000
         1163        12269  GIS-69D_69.000    IMP-69D_69.000      1               0.1162           0.3561            2.3104    69.0000
         1165         1169  LUN-230_230.00    MTI-230_230.00      1               0.4761           3.9146           31.3800   230.0000
         1165         1219  LUN-230_230.00    MAG-230_230.00      1               1.5341          12.2728           98.2987   230.0000
         1166         1219  SAA-230_230.00    MAG-230_230.00      1               1.3225          10.6858           85.6333   230.0000
         1167         1168  PNT-231_230.00    PNT-230_230.00      1               0.7247           1.9943            0.1323   230.0000
         1167         1169  PNT-231_230.00    MTI-230_230.00      1               0.6348           4.8668           39.3195   230.0000
         1170         1171  SNT-231_230.00    SNT-230_230.00      1               0.1000           0.5470            3.9319   230.0000
         1204        12027  CEN-69_69.000     CEN-692_69.000      1               0.0000           0.0048            0.0000    69.0000
         1204        12080  CEN-69_69.000     GLT-69_69.000       1               1.0860           2.9947           24.7847    69.0000
         1204        12089  CEN-69_69.000     HIP-69_69.000       1               0.3761           1.2493           10.0819    69.0000
         1206        12178  SAL-69_69.000     SMM-69_69.000       1               0.8122           1.4745           12.6024    69.0000
         1207        12047  CON-69_69.000     CON-691_69.000      1               0.7394           1.3774           11.1321    69.0000
         1207        12178  CON-69_69.000     SMM-69_69.000       1               0.4133           1.3074           11.5522    69.0000
         1215        12007  LAG-69_69.000     AMA-692_69.000      1               0.8841           2.6885           18.2735    69.0000
         1215        12094  LAG-69_69.000     IRL-69_69.000       1               1.3588           2.5614           20.1638    69.0000
         1215        12225  LAG-69_69.000     ANI-69_69.000       1               0.4037           1.2279            8.4016    69.0000
         1215        12280  LAG-69_69.000     ANI-691_69.000      1               0.4366           1.2421            9.8719    69.0000
         1216        12183  TDL-69_69.000     TDL-691_69.000      1               0.0667           0.1819            1.4703    69.0000
         1217        12283  LUN-69_69.000     MIR-69_69.000       1               2.0944           3.8017           32.3461    69.0000
